%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869377977263346,7263,1580869377976239919,,0.191,0.0028,0.4877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378002841031,7264,1580869378001403093,,0.1871,-0.0038,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378027786299,7265,1580869378026613950,,0.1898,0.0055,0.4892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378052849117,7266,1580869378051714897,,0.191,-0.0026,0.4892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378077515748,7267,1580869378076458930,,0.1872,0.0016,0.4845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378101698029,7268,1580869378101099967,,0.191,0.0028,0.4877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378127420536,7269,1580869378126282930,,0.1911,0.0081,0.4877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378151828249,7270,1580869378151137113,,0.1897,0.0015,0.4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378177387331,7271,1580869378176295042,,0.1949,-0.004,0.4879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378202920192,7272,1580869378201872110,,0.1884,0.0002,0.4846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378227632709,7273,1580869378226217031,,0.1898,0.0055,0.4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378252161233,7274,1580869378251135110,,0.1909,-0.0066,0.4892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378276976490,7275,1580869378275962114,,0.1885,0.0042,0.4876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378303014288,7276,1580869378301855087,,0.191,-0.0026,0.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378327187422,7277,1580869378325963973,,0.1819,-0.0036,0.5101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378352214041,7278,1580869378351205110,,0.1819,-0.0023,0.5101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378377272796,7279,1580869378376051902,,0.1845,-0.0037,0.5087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378404711118,7280,1580869378403673887,,0.1846,0.0043,0.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378427468600,7281,1580869378426079034,,0.182,0.0031,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378452797426,7282,1580869378450994014,,0.1845,-0.0037,0.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378476950284,7283,1580869378475960016,,0.1833,0.0004,0.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378502003297,7284,1580869378500937938,,0.1807,0.0004,0.5009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378529404192,7285,1580869378528295993,,0.182,-0.0009,0.5055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378552141353,7286,1580869378551074028,,0.1806,-0.0062,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378576919861,7287,1580869378575905084,,0.1819,-0.0036,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378601723172,7288,1580869378600688934,,0.1846,0.0016,0.4965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
